x,y,z,dose_rate_uSv_h
0.5000,0.272500,-0.122500,0.012751
0.5000,0.267500,-0.117500,0.015654
0.5000,0.272500,-0.117500,0.018894
0.5000,0.277500,-0.117500,0.016494
0.5000,0.267500,-0.112500,0.016777
0.5000,0.272500,-0.112500,0.020249
0.5000,0.277500,-0.112500,0.017678
0.5000,0.302500,-0.112500,0.015982
0.5000,0.307500,-0.112500,0.017291
0.5000,0.312500,-0.112500,0.013531
0.5000,0.272500,-0.107500,0.012463
0.5000,0.297500,-0.107500,0.012183
0.5000,0.302500,-0.107500,0.022952
0.5000,0.307500,-0.107500,0.024833
0.5000,0.312500,-0.107500,0.019433
0.5000,0.252500,-0.102500,0.012969
0.5000,0.257500,-0.102500,0.012672
0.5000,0.297500,-0.102500,0.012656
0.5000,0.302500,-0.102500,0.023843
0.5000,0.307500,-0.102500,0.025796
0.5000,0.312500,-0.102500,0.020187
0.5000,0.247500,-0.097500,0.024086
0.5000,0.252500,-0.097500,0.030946
0.5000,0.257500,-0.097500,0.028759
0.5000,0.262500,-0.097500,0.015349
0.5000,0.302500,-0.097500,0.014224
0.5000,0.307500,-0.097500,0.015389
0.5000,0.312500,-0.097500,0.012043
0.5000,0.242500,-0.092500,0.014754
0.5000,0.247500,-0.092500,0.033007
0.5000,0.252500,-0.092500,0.042409
0.5000,0.257500,-0.092500,0.039411
0.5000,0.262500,-0.092500,0.021034
0.5000,0.342500,-0.092500,0.013748
0.5000,0.347500,-0.092500,0.013126
0.5000,0.242500,-0.087500,0.014624
0.5000,0.247500,-0.087500,0.032717
0.5000,0.252500,-0.087500,0.042036
0.5000,0.257500,-0.087500,0.039065
0.5000,0.262500,-0.087500,0.020849
0.5000,0.277500,-0.087500,0.012082
0.5000,0.282500,-0.087500,0.024230
0.5000,0.287500,-0.087500,0.027906
0.5000,0.292500,-0.087500,0.023247
0.5000,0.342500,-0.087500,0.013627
0.5000,0.347500,-0.087500,0.013011
0.5000,0.247500,-0.082500,0.018624
0.5000,0.252500,-0.082500,0.023929
0.5000,0.257500,-0.082500,0.022238
0.5000,0.262500,-0.082500,0.011868
0.5000,0.277500,-0.082500,0.027511
0.5000,0.282500,-0.082500,0.055172
0.5000,0.287500,-0.082500,0.063542
0.5000,0.292500,-0.082500,0.052933
0.5000,0.297500,-0.082500,0.025323
0.5000,0.207500,-0.077500,0.011829
0.5000,0.272500,-0.077500,0.011773
0.5000,0.277500,-0.077500,0.035974
0.5000,0.282500,-0.077500,0.072145
0.5000,0.287500,-0.077500,0.083090
0.5000,0.292500,-0.077500,0.069217
0.5000,0.297500,-0.077500,0.033114
0.5000,0.227500,-0.072500,0.013707
0.5000,0.232500,-0.072500,0.018747
0.5000,0.237500,-0.072500,0.018546
0.5000,0.277500,-0.072500,0.034025
0.5000,0.282500,-0.072500,0.068237
0.5000,0.287500,-0.072500,0.078589
0.5000,0.292500,-0.072500,0.065468
0.5000,0.297500,-0.072500,0.031320
0.5000,0.312500,-0.072500,0.012449
0.5000,0.317500,-0.072500,0.022379
0.5000,0.322500,-0.072500,0.023104
0.5000,0.327500,-0.072500,0.017252
0.5000,0.222500,-0.067500,0.012505
0.5000,0.227500,-0.067500,0.029782
0.5000,0.232500,-0.067500,0.040732
0.5000,0.237500,-0.067500,0.040295
0.5000,0.242500,-0.067500,0.022892
0.5000,0.267500,-0.067500,0.014051
0.5000,0.272500,-0.067500,0.018509
0.5000,0.277500,-0.067500,0.024827
0.5000,0.282500,-0.067500,0.039185
0.5000,0.287500,-0.067500,0.042688
0.5000,0.292500,-0.067500,0.035560
0.5000,0.297500,-0.067500,0.017012
0.5000,0.312500,-0.067500,0.027048
0.5000,0.317500,-0.067500,0.048623
0.5000,0.322500,-0.067500,0.050198
0.5000,0.327500,-0.067500,0.037485
0.5000,0.332500,-0.067500,0.016075
0.5000,0.222500,-0.062500,0.015604
0.5000,0.227500,-0.062500,0.037161
0.5000,0.232500,-0.062500,0.050824
0.5000,0.237500,-0.062500,0.050278
0.5000,0.242500,-0.062500,0.028564
0.5000,0.257500,-0.062500,0.017226
0.5000,0.262500,-0.062500,0.036774
0.5000,0.267500,-0.062500,0.045084
0.5000,0.272500,-0.062500,0.042135
0.5000,0.277500,-0.062500,0.026948
0.5000,0.282500,-0.062500,0.020019
0.5000,0.287500,-0.062500,0.015218
0.5000,0.292500,-0.062500,0.012677
0.5000,0.307500,-0.062500,0.012322
0.5000,0.312500,-0.062500,0.033749
0.5000,0.317500,-0.062500,0.060670
0.5000,0.322500,-0.062500,0.062635
0.5000,0.327500,-0.062500,0.046772
0.5000,0.332500,-0.062500,0.020058
0.5000,0.222500,-0.057500,0.014082
0.5000,0.227500,-0.057500,0.033538
0.5000,0.232500,-0.057500,0.045869
0.5000,0.237500,-0.057500,0.045377
0.5000,0.242500,-0.057500,0.025779
0.5000,0.257500,-0.057500,0.036275
0.5000,0.262500,-0.057500,0.077440
0.5000,0.267500,-0.057500,0.094941
0.5000,0.272500,-0.057500,0.084190
0.5000,0.277500,-0.057500,0.042875
0.5000,0.282500,-0.057500,0.014330
0.5000,0.312500,-0.057500,0.030459
0.5000,0.317500,-0.057500,0.054756
0.5000,0.322500,-0.057500,0.056529
0.5000,0.327500,-0.057500,0.042212
0.5000,0.332500,-0.057500,0.018102
0.5000,0.222500,-0.052500,0.012011
0.5000,0.227500,-0.052500,0.020188
0.5000,0.232500,-0.052500,0.024871
0.5000,0.237500,-0.052500,0.023519
0.5000,0.242500,-0.052500,0.013362
0.5000,0.252500,-0.052500,0.013488
0.5000,0.257500,-0.052500,0.043870
0.5000,0.262500,-0.052500,0.093654
0.5000,0.267500,-0.052500,0.114819
0.5000,0.272500,-0.052500,0.101817
0.5000,0.277500,-0.052500,0.051851
0.5000,0.282500,-0.052500,0.017331
0.5000,0.297500,-0.052500,0.013631
0.5000,0.302500,-0.052500,0.014980
0.5000,0.307500,-0.052500,0.017671
0.5000,0.312500,-0.052500,0.021223
0.5000,0.317500,-0.052500,0.030009
0.5000,0.322500,-0.052500,0.029299
0.5000,0.327500,-0.052500,0.021879
0.5000,0.352500,-0.052500,0.016596
0.5000,0.357500,-0.052500,0.015358
0.5000,-0.282500,-0.047500,0.012591
0.5000,-0.277500,-0.047500,0.014421
0.5000,-0.272500,-0.047500,0.011947
0.5000,0.217500,-0.047500,0.014600
0.5000,0.222500,-0.047500,0.016910
0.5000,0.227500,-0.047500,0.014503
0.5000,0.252500,-0.047500,0.011798
0.5000,0.257500,-0.047500,0.038375
0.5000,0.262500,-0.047500,0.081923
0.5000,0.267500,-0.047500,0.100437
0.5000,0.272500,-0.047500,0.089064
0.5000,0.277500,-0.047500,0.045357
0.5000,0.282500,-0.047500,0.015160
0.5000,0.292500,-0.047500,0.021808
0.5000,0.297500,-0.047500,0.041733
0.5000,0.302500,-0.047500,0.045863
0.5000,0.307500,-0.047500,0.038417
0.5000,0.312500,-0.047500,0.022013
0.5000,0.317500,-0.047500,0.014640
0.5000,0.347500,-0.047500,0.012262
0.5000,0.352500,-0.047500,0.019760
